channel_name,daily_rank,daily_movement,weekly_movement,country,view_count,like_count,comment_count,video_id,publish_date,langauge,engagement_rate,like_ratio,comment_ratio,is_view_outlier
Jnr Spragga,1,0,0,ZW,263327,13860,1341,XHm5P8ftt7Q,2/1/2026 1:00,und,0.0577,0.0526,0.0051,FALSE
Netflix,2,0,48,ZW,11605061,180480,14759,AFuE1LRxm80,2/4/2026 1:00,en-US,0.0168,0.0156,0.0013,FALSE
Wemmbu,3,0,47,ZW,4243816,225413,26453,CLm57ZHTJvQ,2/7/2026 1:00,en-US,0.0593,0.0531,0.0062,FALSE
Josh Mtima - Topic,4,0,3,ZW,285889,4775,0,mkRqOY1Y8tw,1/31/2026 1:00,en,0.0167,0.0167,0,FALSE
HBO Max,5,3,45,ZW,5598191,117082,7980,-1UJJPAWudQ,1/14/2026 1:00,en,0.0223,0.0209,0.0014,FALSE
AFIZA FOOTBALL LIVE,6,0,44,ZW,90464,317,1,3Fi--IcTdx0,2/8/2026 1:00,en,0.0035,0.0035,0,FALSE
Oriyano Official ,7,0,10,ZW,214033,6730,546,wb1GD_c8tlI,2/2/2026 1:00,en-GB,0.034,0.0314,0.0026,FALSE
Prime Video,8,3,-3,ZW,3935154,205914,10536,ZnfUeVeMKjY,1/22/2026 1:00,en,0.055,0.0523,0.0027,FALSE
十Loork Football,9,0,41,ZW,154240,668,1,BRih8nQXKEI,2/8/2026 1:00,en,0.0043,0.0043,0,FALSE
Master H,10,0,40,ZW,240466,11507,1105,TIG5IzusQ24,2/6/2026 1:00,en,0.0524,0.0479,0.0046,FALSE
Techys,11,1,39,ZW,703625,42149,4238,I_bW43tXyzk,2/8/2026 1:00,en,0.0659,0.0599,0.006,FALSE
Xiba,12,1,38,ZW,136705,4968,399,opd-BQNn8oM,2/5/2026 1:00,en,0.0393,0.0363,0.0029,FALSE
Mona Football,13,1,37,ZW,67956,317,2,aaaxbdlqYcw,2/7/2026 1:00,en,0.0047,0.0047,0,FALSE
Holy Ten,14,1,36,ZW,115272,9612,1481,0i6pgsbZAk0,2/8/2026 1:00,en,0.0962,0.0834,0.0128,FALSE
StanRP,15,1,35,ZW,1130504,9288,13,Hz23JIumMnI,2/8/2026 1:00,en,0.0082,0.0082,0,FALSE
Nyasha David,16,34,34,ZW,75661,7488,766,07pinMbPq2Q,2/9/2026 1:00,und,0.1091,0.099,0.0101,FALSE
TechyCrew,17,1,33,ZW,235177,3298,306,77P5uqDIYvc,2/8/2026 1:00,en,0.0153,0.014,0.0013,FALSE
FELI NANDI,18,7,32,ZW,62847,3225,385,wIWbW8XoCa8,2/6/2026 1:00,en,0.0574,0.0513,0.0061,FALSE
Cash,19,1,31,ZW,465622,5202,908,UX3Zy08v9U4,2/8/2026 1:00,en-US,0.0131,0.0112,0.002,FALSE
Ninety6,20,-1,9,ZW,100079,4561,436,HXseRjN1g6Y,2/2/2026 1:00,und,0.0499,0.0456,0.0044,FALSE
Chess.com,21,1,29,ZW,958483,11248,297,LDVhPqRlKro,2/8/2026 1:00,en,0.012,0.0117,0.0003,FALSE
Runna Rulez,22,-5,-18,ZW,283200,13777,2087,Y5n3L5qbHGc,1/20/2026 1:00,und,0.056,0.0486,0.0074,FALSE
Bampi,23,1,27,ZW,108792,501,6,uyMOuvEU2kI,2/8/2026 1:00,en,0.0047,0.0046,0.0001,FALSE
Learn Zimbabwe - Topic,24,-3,10,ZW,67068,2072,0,byPwH0WK9pE,2/1/2026 1:00,und,0.0309,0.0309,0,FALSE
Techy,25,1,25,ZW,163697,2926,377,Ia1M5I2vetY,2/8/2026 1:00,en,0.0202,0.0179,0.0023,FALSE
Mr Attention SkylevelDon,26,-3,-17,ZW,139706,2369,419,eNh91cupBwU,1/26/2026 1:00,en,0.02,0.017,0.003,FALSE
FlameFrags,27,1,-11,ZW,3862995,157031,20576,AjhaNdGsoFE,2/2/2026 1:00,en-US,0.046,0.0407,0.0053,FALSE
Tatenda Timothy Kashiri - Topic,28,-1,-17,ZW,339361,3803,154,xtmWPTLn5Go,1/10/2026 1:00,und,0.0117,0.0112,0.0005,FALSE
MrBeast Gaming,29,1,-11,ZW,18587794,334373,18020,90lzlq8AEX0,1/31/2026 1:00,en,0.019,0.018,0.001,FALSE
 Nutty O - ABX,30,20,20,ZW,44794,3843,470,ed83q17Eu78,2/9/2026 1:00,en,0.0963,0.0858,0.0105,FALSE
EYstreem,31,1,-9,ZW,2549577,24336,1488,NbKNRAsYo14,1/31/2026 1:00,en,0.0101,0.0095,0.0006,FALSE
Andy Muridzo,32,-1,-19,ZW,84018,3101,435,VXRV0Bot0KU,1/30/2026 1:00,en,0.0421,0.0369,0.0052,FALSE
Parrot,33,1,-7,ZW,5736302,228728,39263,Udk48Sm60yE,1/24/2026 1:00,en,0.0467,0.0399,0.0068,FALSE
Jnr Spragga - Topic,34,1,5,ZW,41281,1231,0,qBypFYEQajs,2/1/2026 1:00,fr,0.0298,0.0298,0,FALSE
Maizen,35,1,-5,ZW,2140304,12176,1051,eK2uxHnhgOw,1/17/2026 1:00,en,0.0062,0.0057,0.0005,FALSE
KaeChapsVEVO,36,-3,-17,ZW,92760,5356,492,SYQHzKcKaAc,1/29/2026 1:00,und,0.063,0.0577,0.0053,FALSE
Foltyn,37,1,-5,ZW,1960059,52541,6028,5WaR_Z8gsbE,1/17/2026 1:00,en-US,0.0299,0.0268,0.0031,FALSE
MuGaratia,38,2,12,ZW,28364,2403,259,EG3nZKBW4kU,2/6/2026 1:00,en-GB,0.0939,0.0847,0.0091,FALSE
Santan Dave,39,-2,-18,ZW,33826025,524639,12195,SOJpE1KMUbo,1/9/2026 1:00,en,0.0159,0.0155,0.0004,TRUE
KAYFLOW,40,-1,-15,ZW,38704,2534,337,5Zl41bIWUoU,1/30/2026 1:00,und,0.0742,0.0655,0.0087,FALSE
J. Cole,41,1,9,ZW,2294932,150402,10984,pvf_Qv4rmLM,2/6/2026 1:00,en-US,0.0703,0.0655,0.0048,FALSE
Oriyano - Topic,42,1,8,ZW,25222,599,0,LwWrOfZWjQ4,2/1/2026 1:00,en,0.0237,0.0237,0,FALSE
Joyfull Praise Choir ihebo,43,-2,-16,ZW,73105,3233,430,KerjhjGKAfc,1/28/2026 1:00,und,0.0501,0.0442,0.0059,FALSE
Tytie,44,0,-21,ZW,173262,11788,1294,nTaej0k_oGI,1/28/2026 1:00,en,0.0755,0.068,0.0075,FALSE
DJ SUDE - Topic,45,1,5,ZW,38332,506,0,vR2KWh0u33E,1/26/2026 1:00,en,0.0132,0.0132,0,FALSE
Hulengende Zw,46,-1,-9,ZW,59549,2050,324,tKdcyLXC158,1/23/2026 1:00,und,0.0399,0.0344,0.0054,FALSE
ExQVEVO,47,1,-5,ZW,135442,1515,100,dcM3CpyFf_A,1/12/2026 1:00,en,0.0119,0.0112,0.0007,FALSE
mikeeysmind - Topic,48,-1,-8,ZW,24096684,533338,10961,IuYsaw0qX9Y,1/9/2026 1:00,fr,0.0226,0.0221,0.0005,TRUE
Justin99 Official,49,0,-39,ZW,993053,17702,471,66vRgXgRaiQ,1/23/2026 1:00,fr,0.0183,0.0178,0.0005,FALSE
Culture Love Official ,50,0,0,ZW,46112,1308,161,oh6y751Wd1A,2/3/2026 1:00,und,0.0319,0.0284,0.0035,FALSE
Mulest Vankay - Topic,1,0,49,ZA,366095,16755,0,s20LKb1DzHw,2/5/2026 1:00,en,0.0458,0.0458,0,FALSE
Netflix,2,0,48,ZA,11603108,180478,14759,AFuE1LRxm80,2/4/2026 1:00,en-US,0.0168,0.0156,0.0013,FALSE
Wemmbu,3,0,47,ZA,4243816,225411,26453,CLm57ZHTJvQ,2/7/2026 1:00,en-US,0.0593,0.0531,0.0062,FALSE
Skhanga - Topic,4,0,-3,ZA,1617740,30718,0,bE09MCLP0kE,1/27/2026 1:00,und,0.019,0.019,0,FALSE
20th Century Studios,5,0,-3,ZA,9496895,160497,6315,e9HXmMnUEdE,2/2/2026 1:00,en,0.0176,0.0169,0.0007,FALSE
Bionic,6,0,44,ZA,826096,22767,2751,hVviDIKxm74,2/7/2026 1:00,en,0.0309,0.0276,0.0033,FALSE
Royal MusiQ - Topic,7,3,43,ZA,248571,10069,129,wPGYXkVw4CI,2/5/2026 1:00,en,0.041,0.0405,0.0005,FALSE
Lionsgate Movies,8,0,0,ZA,10362597,169913,11815,mbtgEE6rkxw,2/2/2026 1:00,en,0.0175,0.0164,0.0011,FALSE
Techys,9,3,41,ZA,703625,42148,4238,I_bW43tXyzk,2/8/2026 1:00,en,0.0659,0.0599,0.006,FALSE
J. Cole - Topic,10,-3,40,ZA,1276754,23580,1942,JDVRv15xqRI,2/6/2026 1:00,en,0.02,0.0185,0.0015,FALSE
TrailerSpot,11,9,39,ZA,712954,7056,573,UC4INGdHwhs,2/9/2026 1:00,en,0.0107,0.0099,0.0008,FALSE
Manando Live,12,0,38,ZA,40499,1260,117,PhTy615yntg,2/6/2026 1:00,en,0.034,0.0311,0.0029,FALSE
UMnotho - Topic,13,0,37,ZA,153090,6786,0,u8NWP7HeMQ0,2/7/2026 1:00,en,0.0443,0.0443,0,FALSE
Showmax,14,-3,-9,ZA,31710,118,2,2OTBASRXjrk,2/1/2026 1:00,en,0.0038,0.0037,0.0001,FALSE
S2G,15,0,35,ZA,464854,21921,863,ky1xjJAJA7I,2/7/2026 1:00,en,0.049,0.0472,0.0019,FALSE
Nkeshemba - Topic,16,0,34,ZA,214221,2220,42,1KC0gKgIelc,2/2/2026 1:00,und,0.0106,0.0104,0.0002,FALSE
Amazon MGM Studios,17,-15,33,ZA,5976982,45645,3401,P0XN3-n-2Lo,2/8/2026 1:00,en-US,0.0082,0.0076,0.0006,FALSE
Cash,18,-9,32,ZA,710436,6308,927,8P94COKek0w,2/7/2026 1:00,en-US,0.0102,0.0089,0.0013,FALSE
Bello B - Topic,19,0,31,ZA,216297,5971,0,M-Vs1GS50ow,2/3/2026 1:00,und,0.0276,0.0276,0,FALSE
A24,20,-6,30,ZA,10070660,94597,3280,6zmKcUa4Xxk,2/3/2026 1:00,en,0.0097,0.0094,0.0003,FALSE
NDL,21,-3,29,ZA,1211215,36257,1892,hk-OG8q_SDE,2/5/2026 1:00,en,0.0315,0.0299,0.0016,FALSE
Al Xapo - Topic,22,2,28,ZA,199483,8366,102,91NGeXDL8bM,2/5/2026 1:00,en,0.0424,0.0419,0.0005,FALSE
GMMTV OFFICIAL​​,23,27,27,ZA,520728,52044,4536,EV10OIiZQ5E,2/9/2026 1:00,en,0.1087,0.0999,0.0087,FALSE
SpeirsTheAmazingHD,24,13,26,ZA,298607,3274,130,Yc3cwE0GaJg,2/7/2026 1:00,en,0.0114,0.011,0.0004,FALSE
ZWOTHE KEYS - Topic,25,1,25,ZA,112076,4103,112,6qPvSWxxfsU,2/4/2026 1:00,en,0.0376,0.0366,0.001,FALSE
Apple TV,26,-9,24,ZA,9005040,94686,4768,ZgWrFoaisdk,2/3/2026 1:00,en,0.011,0.0105,0.0005,FALSE
Simply Chris,27,2,23,ZA,627379,7472,22,uNdxS2W7nrU,2/7/2026 1:00,en,0.0119,0.0119,0,FALSE
Njabulo Langa - Topic,28,-6,-24,ZA,421560,14139,1005,7vp3AXOzG-0,1/29/2026 1:00,und,0.0359,0.0335,0.0024,FALSE
Entertainment Tonight,29,-15,21,ZA,746315,14181,954,ik0drfECnPo,2/9/2026 1:00,en,0.0203,0.019,0.0013,FALSE
Foltyn,30,-9,20,ZA,1280547,16329,2824,AO3jzWFH954,2/7/2026 1:00,en-US,0.015,0.0128,0.0022,FALSE
Aymos ,31,-3,19,ZA,242085,10021,1013,W-YFxixEbKo,2/5/2026 1:00,und,0.0456,0.0414,0.0042,FALSE
Pazjor,32,-5,18,ZA,307821,5843,339,LN62YHdg98g,2/7/2026 1:00,en,0.0201,0.019,0.0011,FALSE
CHONDE STUDIOS - Topic,33,-3,1,ZA,360263,8342,187,czhiEKP0VIQ,1/30/2026 1:00,en,0.0237,0.0232,0.0005,FALSE
MSToons,34,-9,12,ZA,1748353,6076,65,QhWlsnLX_b8,2/2/2026 1:00,en,0.0035,0.0035,0,FALSE
PLG Chanty,35,-3,15,ZA,88833,2770,131,bOGWKDjDQZk,2/6/2026 1:00,en,0.0327,0.0312,0.0015,FALSE
Techy Plays,36,9,14,ZA,347593,5315,518,3prDl4Qk3JU,2/8/2026 1:00,,0.0168,0.0153,0.0015,FALSE
Sqiniseko SqinQ - Topic,37,-3,13,ZA,116800,5560,215,BdBhO7B2cUA,2/5/2026 1:00,ru,0.0494,0.0476,0.0018,FALSE
Nought,38,9,12,ZA,135428,4821,227,uu9hT2yl88U,2/7/2026 1:00,en,0.0373,0.0356,0.0017,FALSE
Shaun Stylist - Topic,39,-3,-26,ZA,337941,9852,0,t1mkQhDwhdQ,1/29/2026 1:00,en,0.0292,0.0292,0,FALSE
TechyCrew,40,-22,10,ZA,235177,3298,306,77P5uqDIYvc,2/8/2026 1:00,en,0.0153,0.014,0.0013,FALSE
Miracle Music,41,-3,9,ZA,149236,526,17,e3TkaA3Jx_o,2/3/2026 1:00,und,0.0036,0.0035,0.0001,FALSE
More Techy,42,-11,8,ZA,276709,3345,290,uW4q7CWJDtA,2/7/2026 1:00,en,0.0131,0.0121,0.001,FALSE
Aymos - Topic,43,3,7,ZA,66169,2378,0,o-ld-tmKbsE,2/5/2026 1:00,es,0.0359,0.0359,0,FALSE
Spoke,44,-11,6,ZA,2773650,110782,13338,spXJwMbHZSw,2/5/2026 1:00,en-US,0.0447,0.0399,0.0048,FALSE
HardSoul - Topic,45,-5,5,ZA,53625,475,0,gZ38nAwIHsA,2/5/2026 1:00,en,0.0089,0.0089,0,FALSE
EYstreem,46,-11,4,ZA,838178,7975,449,4K--_3txFHI,2/7/2026 1:00,en,0.0101,0.0095,0.0005,FALSE
Mr Brown - Topic,47,1,3,ZA,85246,1179,25,FdAGPqq-shI,2/5/2026 1:00,en,0.0141,0.0138,0.0003,FALSE
PrestonPlayz,48,-9,2,ZA,563344,9317,1211,Xs7e-2wDdyU,2/7/2026 1:00,en,0.0187,0.0165,0.0021,FALSE
Master H,49,-39,1,ZA,240466,11507,1105,TIG5IzusQ24,2/6/2026 1:00,en,0.0524,0.0479,0.0046,FALSE
FlameFrags,50,-22,-34,ZA,3862995,157031,20576,AjhaNdGsoFE,2/2/2026 1:00,en-US,0.046,0.0407,0.0053,FALSE
احساس FM,1,4,49,YE,12108,283,8,hMlG6Wih-z0,2/8/2026 1:00,ar,0.024,0.0234,0.0007,FALSE
Abdo 2xd,2,48,48,YE,246423,35891,1443,7d_gbX_aLoQ,2/9/2026 1:00,ar,0.1515,0.1456,0.0059,FALSE
اسامة الشرعبي | OSAMA ALSHREBY - Topic,3,-2,47,YE,50457,998,0,LIH_5kYKrcE,2/7/2026 1:00,ar,0.0198,0.0198,0,FALSE
أترو/Atro,4,46,46,YE,88802,14168,3464,o22xWfNJVaw,2/9/2026 1:00,ar,0.1986,0.1595,0.039,FALSE
SLOW MOE,5,-2,45,YE,856745,40301,18104,ffB6cHJjwzM,2/7/2026 1:00,en-US,0.0682,0.047,0.0211,FALSE
SXB,6,44,44,YE,161695,16264,411,qQBXQiyDDWw,2/9/2026 1:00,ar,0.1031,0.1006,0.0025,FALSE
علي مجاهد - Topic,7,43,43,YE,17783,183,6,qSU4XwH0twc,1/27/2026 1:00,ar,0.0106,0.0103,0.0003,FALSE
AboFlah Gaming,8,-6,42,YE,1290109,78529,4773,U-vcT-mGS9U,2/7/2026 1:00,ar,0.0646,0.0609,0.0037,FALSE
طربيانا - Tarbiana,9,10,41,YE,61882,987,13,seId9Ar_-J0,2/7/2026 1:00,ar,0.0162,0.0159,0.0002,FALSE
صالح - oPiiLz,10,-6,40,YE,573114,65320,1939,5N-kVOK5EP8,2/8/2026 1:00,ar,0.1174,0.114,0.0034,FALSE
مناجاة,11,-2,39,YE,12976,218,16,lEnx7Q8CIrM,2/4/2026 1:00,ar,0.018,0.0168,0.0012,FALSE
بارون سوريا - Baron,12,38,38,YE,17151,2036,242,lERK29fGA4o,2/9/2026 1:00,en,0.1328,0.1187,0.0141,FALSE
المنشد انس سيد - anas sayed,13,31,37,YE,131694,2285,190,fxV6SCN7h7U,2/4/2026 1:00,ar,0.0188,0.0174,0.0014,FALSE
Reybad - ريباد,14,36,36,YE,74382,7483,392,eBO4CUt142w,2/9/2026 1:00,ar,0.1059,0.1006,0.0053,FALSE
يماني ماركه FM,15,35,35,YE,24798,396,10,_bYmQVcW_Lo,2/2/2026 1:00,ar,0.0164,0.016,0.0004,FALSE
ALI MOUSA GAMING,16,34,34,YE,16376,2364,114,PP0nqfdkfAc,2/9/2026 1:00,en,0.1513,0.1444,0.007,FALSE
Aysel Khaled,17,-6,33,YE,911815,45721,11208,mRrJ82X0D_Q,2/7/2026 1:00,ar,0.0624,0.0501,0.0123,FALSE
حمزاوي Hamzawy,18,32,32,YE,81575,2444,5,o5Ox3DU9BKs,2/10/2026 1:00,ar,0.03,0.03,0.0001,FALSE
صوت الايمان ,19,-4,31,YE,55722,549,27,me8pHUTfEFI,2/5/2026 1:00,ar,0.0103,0.0099,0.0005,FALSE
Ahmad GTA Family - عائلة احمد قراند ,20,30,30,YE,136632,1583,82,XxVsHTL1KDU,2/9/2026 1:00,ar,0.0122,0.0116,0.0006,FALSE
Ayoub Taresh l ايوب طارش,21,-4,29,YE,20931,1058,119,6ln9TsxFAkE,2/5/2026 1:00,ar,0.0562,0.0505,0.0057,FALSE
Mahmoud GRX,22,28,28,YE,7695,1107,352,LNXIGTw8zAs,2/9/2026 1:00,ar,0.1896,0.1439,0.0457,FALSE
جلسات مقيل | سالم المسعودي,23,-4,27,YE,71093,2374,150,prgPF2RgRb8,2/4/2026 1:00,ar,0.0355,0.0334,0.0021,FALSE
MASTER OF GAMES,24,26,26,YE,18085,2564,192,mtwbg6Abs7M,2/9/2026 1:00,ar,0.1524,0.1418,0.0106,FALSE
 ميوزك سهرايا ,25,-4,25,YE,49791,495,8,JcSgfz5Nd9U,2/5/2026 1:00,ar,0.0101,0.0099,0.0002,FALSE
Rest رست,26,24,24,YE,83299,5152,443,sX7kAfCwPJA,2/9/2026 1:00,ar,0.0672,0.0618,0.0053,FALSE
Saleem Salem - Topic,27,-4,23,YE,474311,6825,0,sNy5akmRMY4,1/23/2026 1:00,ar,0.0144,0.0144,0,FALSE
Ameer Slow - أمير سلاو,28,22,22,YE,80426,3684,220,cki8sKGdjdg,2/9/2026 1:00,ar,0.0485,0.0458,0.0027,FALSE
Ashraqat - اشرقت ,29,-4,21,YE,135863,4745,348,U8qRcqkN0YM,2/4/2026 1:00,ar,0.0375,0.0349,0.0026,FALSE
TONY GAMING,30,20,20,YE,94619,12601,534,vFa1BTOHnbY,2/9/2026 1:00,ar,0.1388,0.1332,0.0056,FALSE
Haifa Wehbe,31,-4,19,YE,433452,9563,1426,lfi7NGiobp8,2/3/2026 1:00,ar,0.0254,0.0221,0.0033,FALSE
صهيب - Suhaib,32,-26,18,YE,320910,23855,1418,LwXeiMlDLYs,2/8/2026 1:00,ar,0.0788,0.0743,0.0044,FALSE
Balqees | بلقيس,33,-4,-29,YE,200519,2712,224,GeV46NXDEc4,2/2/2026 1:00,ar,0.0146,0.0135,0.0011,FALSE
قراند مان - Grand Man,34,-24,16,YE,170531,3247,115,iUJ48O064gg,2/6/2026 1:00,ar,0.0197,0.019,0.0007,FALSE
Maher Zain,35,-4,15,YE,54338,4033,249,lA7GpRXaV8I,2/4/2026 1:00,ar,0.0788,0.0742,0.0046,FALSE
Mohamed Adel  TV,36,14,14,YE,32131,3562,230,MAvn7Vwx2a8,2/9/2026 1:00,ar,0.118,0.1109,0.0072,FALSE
ايمن قُصيله Aiman Qusailah,37,-4,13,YE,23650,1284,192,slt35_c64bA,2/3/2026 1:00,en-US,0.0624,0.0543,0.0081,FALSE
مـلـزلـز MLZLZ,38,12,12,YE,81345,11462,1596,2QOcxtaQjME,2/9/2026 1:00,ar,0.1605,0.1409,0.0196,FALSE
نشيدي,39,-4,-33,YE,257349,1263,44,OkWgvs46A0w,1/24/2026 1:00,ar,0.0051,0.0049,0.0002,FALSE
من بره التمنتاشر,40,-28,10,YE,148302,13680,425,LW3nWU0fIV0,2/8/2026 1:00,ar,0.0951,0.0922,0.0029,FALSE
نادر الشراري,41,-4,-40,YE,206832,5443,524,g6wNIu8-lFc,2/1/2026 1:00,ar,0.0288,0.0263,0.0025,FALSE
راعي الشاص,42,-24,8,YE,42053,497,16,JtWMdYjy8s8,2/8/2026 1:00,ar,0.0122,0.0118,0.0004,FALSE
مشاري بن نافل Mshari Bin Nafil l,43,-4,-25,YE,278519,6927,533,RQ1eD2haXbc,1/31/2026 1:00,ar,0.0268,0.0249,0.0019,FALSE
رايدن RAYDIN,44,-30,6,YE,36996,0,85,aH5Iqj-mCyA,2/8/2026 1:00,ar,0.0023,0,0.0023,FALSE
Rotana,45,-4,-37,YE,1530119,12632,739,WaezhBpw12E,2/1/2026 1:00,en-US,0.0087,0.0083,0.0005,FALSE
Zzz Red FF☠️,46,4,4,YE,740773,2291,4,WJkQJFdeP0w,2/9/2026 1:00,hi,0.0031,0.0031,0,FALSE
MUSliM - مُسلِم ,47,-2,-31,YE,313329,11387,816,FEx3QAMAV54,2/1/2026 1:00,ar,0.0389,0.0363,0.0026,FALSE
